date;day;average;median;deviation;soften;returns
20211024;1150;1.528104878;1.26;0.76138035;1.182780996;0.037667198
20211025;1151;1.401513397;1.165;0.622008955;1.162542393;-0.017111031
20211026;1152;1.446468421;1.2445;0.770249623;1.196607796;0.029302504
20211027;1153;1.43244;1.25;0.73203945;1.203050063;0.005383775
20211028;1154;1.504448065;1.39;1.039981177;1.263219287;0.050013898
20211029;1155;1.259097059;1.0805;0.747014556;1.18225645;-0.064092464
20211030;1156;1.372307895;1.123;0.641786101;1.189491912;0.006120045
20211031;1157;1.384793824;1.0945;0.774456506;1.155416121;-0.02864735
20211101;1158;1.27565;1.09;0.624250344;1.144969344;-0.009041571
20211102;1159;1.272;1.1;0.554696828;1.133461822;-0.010050507
20211103;1160;1.16447;1;0.510221146;1.092810389;-0.035864845
20211104;1161;1.186197297;1.1;0.407632932;1.108757403;0.014592664
20211105;1162;1.346789091;1.2;0.603126052;1.133855931;0.022636627
20211106;1163;1.139905263;1.101;0.194972347;1.114537778;-0.017037573
20211107;1164;1.475468966;1.3025;0.560324048;1.183631236;0.061992926
20211108;1165;1.154636585;1.05;0.295452036;1.116056338;-0.057091175
20211109;1166;1.546125926;1.048;1.728082692;1.115895858;-0.000143792
20211110;1167;1.620671429;1.135;1.581313331;1.122317399;0.005754606
20211111;1168;1.675500137;1.21;2.416993143;1.149404419;0.024134902
20211112;1169;1.296608;1.01;0.688758337;1.093907273;-0.048283394
20211113;1170;1.620545161;1.15;1.011749867;1.131103897;0.034003453
20211114;1171;1.120392308;0.98;0.520071589;1.068337057;-0.055491667
20211115;1172;1.319029787;1.05;0.494072496;1.083146985;0.013862599
20211116;1173;1.265876134;1.15;0.314504415;1.10049468;0.016016013
20211117;1174;1.793861765;1.4;1.076761809;1.194547222;0.085463876
20211118;1175;1.294933333;1.2;0.379354437;1.165013967;-0.024723388
20211119;1176;1.388010169;1.2;0.564075557;1.186520396;0.018460233
20211120;1177;1.386420313;1.195;0.522217687;1.182178121;-0.003659672
20211121;1178;1.413581957;1.22;0.658118506;1.196232839;0.011888833
20211122;1179;1.29306875;1.135;0.561344845;1.171136987;-0.02097907
20211123;1180;1.4342675;1.1895;1.137677165;1.185623275;0.012369423
20211124;1181;1.603565;1.2995;1.422588645;1.218753421;0.027943231
20211125;1182;1.501050615;1.38;0.409742911;1.261458899;0.035040294
20211126;1183;1.510521053;1.4;0.334007057;1.293404106;0.025324018
20211127;1184;1.425642857;1.2894;0.350766087;1.281421002;-0.00926478
20211128;1185;1.547425714;1.35;0.451600857;1.308275036;0.020956449
20211129;1186;1.870727586;1.6;0.878163426;1.396565346;0.067486046
20211130;1187;1.816052941;1.475;0.975204812;1.393280127;-0.002352356
20211201;1188;1.887896;1.65;0.773533313;1.479948491;0.06220455
20211202;1189;1.720195556;1.48;0.890555491;1.451076206;-0.01950898
20211203;1190;1.679392727;1.49;0.453690368;1.473674899;0.015573746
20211204;1191;1.476979167;1.285;0.400345792;1.403250368;-0.047788376
20211205;1192;1.601402941;1.475;0.491445861;1.450641756;0.033772581
20211206;1193;1.331620833;1.285;0.235273953;1.379630708;-0.048951471
20211207;1194;1.413705882;1.29;0.312292966;1.373424155;-0.004498706
20211208;1195;1.396230769;1.25;0.315110741;1.334351621;-0.028448993
20211209;1196;1.870853571;1.495;1.838166445;1.400925259;0.049892125
20211210;1197;1.835188889;1.33;1.448618218;1.355092293;-0.03271621
20211211;1198;1.656055;1.38;0.736072792;1.378672517;0.017401194
