date;day;average;median;deviation;soften;returns
20220912;1473;1.91055;1.91055;0.366917709;2.304831802;-0.112021074
20220913;1474;2.046666667;1.99;0.328684246;2.296808237;-0.003481194
20220914;1475;2.346666667;2.025;0.631843863;2.208880013;-0.038282788
20220915;1476;2.09202;2.2;0.395206468;2.235229417;0.011928852
20220916;1477;2.087421429;2.035;0.775996678;2.159703143;-0.033789048
20220917;1478;2.060066667;1.8801;0.31171141;2.09167752;-0.031497673
20220918;1479;2.06723;1.985;0.524955842;2.078793554;-0.006159633
20220919;1480;1.8268;1.821;0.015610894;1.997157025;-0.03927111
20220920;1481;1.965857143;1.9;0.303534967;1.991983526;-0.002590431
20220921;1482;2.2;2.2;0;2.06304685;0.035674654
20220923;1484;2.8;2.8;0;2.285010125;0.107590031
20220924;1485;2.578;2.49;0.409169891;2.279352325;-0.00247605
20220925;1486;2.22835;2.035;0.421306937;2.199787483;-0.034906776
20220926;1487;5.0525;1.97;6.299568107;2.14971327;-0.022763205
20220927;1488;2.69369288;2.5;0.525598337;2.283166918;0.062079743
20220928;1489;3.695314828;3.55;1.152264783;2.660960062;0.165468912
20220929;1490;2.562171429;2.75;0.390620023;2.564708993;-0.036171557
20220930;1491;2.7075;2.77;0.510017157;2.665223019;0.039191201
20221001;1492;2.91;3.05;0.522278661;2.759977337;0.035552116
20221002;1493;2.531354545;2.49;0.24714992;2.638400119;-0.044050079
20221003;1494;2.578035136;2.35;0.583831634;2.582792485;-0.02107627
20221004;1495;3.063333333;2.575;1.161665471;2.598730868;0.006170988
20221005;1496;2.460978141;2.275;0.452916981;2.485507784;-0.043568607
20221006;1497;2.183333333;2.2;0.028867513;2.428079551;-0.023105232
20221009;1500;2.71346;2.42;0.509640941;2.444529112;0.006774721
20221010;1501;2.695;2.695;0.007071068;2.522536221;0.031910894
20221011;1502;3.143333333;3.25;0.410528115;2.739021778;0.085820594
20221012;1503;2.83982;3;0.592225643;2.753852666;0.005414666
20221013;1504;2.318142238;2.08;0.695828618;2.524291481;-0.08336001
20221014;1505;2.782463636;2.79;0.707434156;2.689381382;0.065400491
20221015;1506;2.1;2.1;0;2.437890955;-0.09351237
20221016;1507;3.035833333;2.3775;1.356334828;2.501590779;0.02612907
20221017;1508;3.613216667;3.0695;2.156336384;2.669660578;0.067185169
20221018;1509;2.719;2.719;0.680236724;2.630083786;-0.014824653
20221019;1510;3.2425;3.245;0.646806256;2.848248121;0.082949576
20221020;1511;2.466727273;2.29;0.552435352;2.589443969;-0.090864328
20221021;1512;2.800714286;2.245;1.240071116;2.560897363;-0.011024222
20221022;1513;2.781666667;2.7;0.468846101;2.616780444;0.021821679
20221023;1514;2.038008889;1.941;0.229161879;2.372892602;-0.093201492
20221024;1515;2.339345833;2.16485;0.601933907;2.384841016;0.005035379
20221025;1516;2.371975;2.1195;0.519044188;2.292411206;-0.038757221
20221026;1517;2.865542857;2.975;0.494804362;2.550750741;0.112693366
20221027;1518;2.388;2.4251;0.33433879;2.422753982;-0.050180034
20221028;1519;2.5;2.6;0.324653662;2.524501574;0.041996667
20221030;1521;2.6025451;2.1821;0.689907937;2.376451852;-0.05864513
20221031;1522;3.012714286;2.599;0.743277587;2.499984475;0.051981959
20221101;1523;2.383528571;2.47945;0.291380104;2.451962109;-0.019209066
20221102;1524;2.51195;2.51195;0.233415948;2.487965528;0.014683514
20221103;1525;2.575;2.425;0.473462424;2.454975879;-0.013259689
20221104;1526;2.75103;2.2;1.250531595;2.380980469;-0.030140993
20221105;1527;3.7297;3.7297;0;2.855218783;0.199177742
20221106;1528;3.29265;3.49;0.784872905;2.908733084;0.018742627
20221107;1529;2.880162375;2.3499995;1.51927194;2.704650456;-0.070162034
20221108;1530;2.20284;2.2;0.143992663;2.60446118;-0.037043336
20221109;1531;2.367650477;2.105;0.48780906;2.471370545;-0.051101025
20221110;1532;2.4998;2.25;0.442802096;2.441943908;-0.011907011
20221111;1533;2.5406;2.3125;0.521089982;2.408604818;-0.013652685
20221112;1534;2.86;2.715;0.728324888;2.521849575;0.047016745
20221113;1535;2.335647915;2.1;0.482733249;2.343484798;-0.070727762
20221114;1536;2.0945;2.1095;0.195289083;2.324944791;-0.007911298
20221115;1537;2.208;2.175;0.388023563;2.281143196;-0.018839843
20221116;1538;2.3946;2.25;0.51236775;2.285362662;0.001849716
20221117;1539;2.6171;2.525;0.507835127;2.363835286;0.034337055
20221118;1540;2.708;2.3;1.094905374;2.316399316;-0.020067375
20221119;1541;2.393666667;2.041;0.54712363;2.240411534;-0.032804267
20221120;1542;2.66315;2.675;0.175373976;2.410603617;0.075964652
20221121;1543;2.3;2.3;0;2.31700505;-0.038827854
20221122;1544;3.101428571;3.25;0.694316013;2.659202889;0.147689725
20221123;1545;2.68065;2.68065;0.150861625;2.55228598;-0.040206375
20221124;1546;3.041809;3.21;1.005444297;2.807162956;0.099862233
20221125;1547;2.0133;2.0133;0;2.457582979;-0.124531416
20221126;1548;2.320507921;2.320507921;0.211413725;2.528417952;0.028823024
